event_id,event_datetime,event_parish,event_lat,event_lon,station_parish,station_network,station_name,station_slug,station_lat,station_lon,distance_mi,records,coverage_pct,event_total_in,peak_rain_rate_inhr,qc_negative_resets,qc_big_1min_increments,max_5min_in,max_15min_in,max_30min_in,max_60min_in,max_180min_in
924768,2020-10-09 00:16:00,EAST BATON ROUGE,30.4285,-91.154,East Baton Rouge,eastbatonrouge,Louisiana State University (Tiger Stadium),tigerstadium,30.411921,-91.183756,2.111,423,100.5,0.69,2.46,0,0,0.16,0.24,0.36,0.4,0.49
924768,2020-10-09 00:16:00,EAST BATON ROUGE,30.4285,-91.154,East Baton Rouge,eastbatonrouge,Louisiana State University (Alex Box Stadium),alexbox,30.411238,-91.183516,2.125,451,107.1,0.72,2.98,0,0,0.18,0.27,0.34,0.39,0.47
960559,2021-05-18 05:30:00,EAST BATON ROUGE,30.4197,-91.1998,East Baton Rouge,eastbatonrouge,Louisiana State University (Tiger Stadium),tigerstadium,30.411921,-91.183756,1.097,765,181.7,1.69,12.26,0,0,0.31,0.79,1.14,1.43,1.57
960559,2021-05-18 05:30:00,EAST BATON ROUGE,30.4197,-91.1998,East Baton Rouge,eastbatonrouge,Louisiana State University (Alex Box Stadium),alexbox,30.411238,-91.183516,1.133,433,102.9,2.28,6.26,0,0,0.34,0.88,1.3,1.66,2.06
986771,2021-09-14 18:10:00,EAST BATON ROUGE,30.38,-91.13,East Baton Rouge,eastbatonrouge,Louisiana State University (Alex Box Stadium),alexbox,30.411238,-91.183516,3.851,420,99.8,13.45,1.44,4,4,3.7,3.74,3.77,7.37,10.86
986771,2021-09-14 18:10:00,EAST BATON ROUGE,30.38,-91.13,East Baton Rouge,eastbatonrouge,Louisiana State University (Tiger Stadium),tigerstadium,30.411921,-91.183756,3.889,420,99.8,13.99,1.89,5,4,3.62,3.66,3.7,5.53,8.18
999676,2021-12-06 14:55:00,EAST BATON ROUGE,30.46,-91.17,East Baton Rouge,eastbatonrouge,Louisiana State University (Tiger Stadium),tigerstadium,30.411921,-91.183756,3.422,413,98.1,0.42,3.29,0,0,0.18,0.31,0.37,0.42,0.42
999676,2021-12-06 14:55:00,EAST BATON ROUGE,30.46,-91.17,East Baton Rouge,eastbatonrouge,Louisiana State University (Alex Box Stadium),alexbox,30.411238,-91.183516,3.464,420,99.8,0.42,3.29,0,0,0.18,0.31,0.37,0.42,0.42
1014017,2022-03-22 16:16:00,EAST BATON ROUGE,30.4274,-91.1551,East Baton Rouge,eastbatonrouge,Louisiana State University (Tiger Stadium),tigerstadium,30.411921,-91.183756,2.015,197,46.8,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1014017,2022-03-22 16:16:00,EAST BATON ROUGE,30.4274,-91.1551,East Baton Rouge,eastbatonrouge,Louisiana State University (Alex Box Stadium),alexbox,30.411238,-91.183516,2.028,420,99.8,0.17,2.33,0,0,0.08,0.12,0.17,0.17,0.17
1021946,2022-04-13 23:14:00,ORLEANS,29.9439,-90.0792,Orleans,orleans,Loyola University New Orleans (Uptown/Audubon),loyola,29.93707,-90.119921,2.483,418,99.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1021946,2022-04-13 23:14:00,ORLEANS,29.9439,-90.0792,Orleans,orleans,SWBNO East Bank Water Intake (Carrollton Bend),carrolltonbend,29.95334,-90.13797,3.578,427,101.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1031174,2022-05-25 14:08:00,ORLEANS,29.9,-89.99,Orleans,orleans,SWBNO West Bank Water Treatment (English Turn),englishturn,29.907042,-89.966192,1.507,454,107.8,0.08,1.75,0,0,0.05,0.05,0.05,0.05,0.05
1031174,2022-05-25 14:08:00,ORLEANS,29.9,-89.99,Orleans,orleans,NORDC Morris F.X. Jeff Sr. Park (Algiers),algiers,29.942018,-90.029914,3.761,73,17.3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1043340,2022-06-10 11:38:00,JEFFERSON,29.95,-90.2,Orleans,orleans,SWBNO East Bank Water Intake (Carrollton Bend),carrolltonbend,29.95334,-90.13797,3.721,420,99.8,0.84,2.98,0,0,0.16,0.36,0.64,0.66,0.8
1043340,2022-06-10 11:38:00,JEFFERSON,29.95,-90.2,Orleans,orleans,Loyola University New Orleans (Uptown/Audubon),loyola,29.93707,-90.119921,4.877,420,99.8,0.72,3.79,0,0,0.16,0.3,0.39,0.39,0.7
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,NOFD Logistics (Navarre),logistics,29.98614,-90.10934,0.845,424,100.7,0.18,3.92,0,0,0.14,0.14,0.14,0.14,0.17
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,NOPD Stables (City Park),citypark,29.99789,-90.09909,0.971,421,100.0,0.14,1.0,0,0,0.07,0.08,0.08,0.09,0.1
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,NOFD Rescue Squad 7 (Treme),treme,29.962679,-90.071544,2.062,420,99.8,0.17,1.89,0,0,0.08,0.13,0.17,0.17,0.17
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,NOFD Engine 27 (Seventh Ward/St. Roch),seventhward,29.9796,-90.0585,2.231,803,190.7,0.28,1.74,0,0,0.07,0.1,0.1,0.16,0.28
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,NOFD Engine 16 (Central City),centralcity,29.94159,-90.08053,3.076,420,99.8,0.34,3.03,0,0,0.24,0.28,0.32,0.33,0.34
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,Municipal Yacht Harbor (Lakefront),lakefront,30.028359,-90.115627,3.282,769,182.7,0.5,5.94,0,0,0.28,0.38,0.39,0.5,0.5
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,SWBNO East Bank Water Intake (Carrollton Bend),carrolltonbend,29.95334,-90.13797,3.322,420,99.8,0.18,1.32,0,0,0.09,0.13,0.14,0.14,0.18
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,Loyola University New Orleans (Uptown/Audubon),loyola,29.93707,-90.119921,3.572,420,99.8,0.33,3.79,0,0,0.16,0.27,0.31,0.31,0.32
1043328,2022-06-10 11:06:00,ORLEANS,29.9842,-90.0954,Orleans,orleans,NORDC Morris F.X. Jeff Sr. Park (Algiers),algiers,29.942018,-90.029914,4.885,420,99.8,0.09,0.57,0,0,0.04,0.04,0.05,0.05,0.09
1043337,2022-06-10 11:23:00,ORLEANS,30.02,-90.02,Orleans,orleans,NOFD Engine 36 (New Orleans East),neworleanseast,30.02742,-89.96873,3.11,420,99.8,2.39,7.48,0,0,0.41,0.77,0.96,1.11,1.46
1043337,2022-06-10 11:23:00,ORLEANS,30.02,-90.02,Orleans,orleans,SWBNO East Bank Water Treatment (Lower 9th Ward),lowerninthward,29.97714,-89.99761,3.25,420,99.8,2.95,4.76,0,0,0.3,0.62,1.06,1.38,2.53
1043337,2022-06-10 11:23:00,ORLEANS,30.02,-90.02,Orleans,orleans,NOFD Engine 27 (Seventh Ward/St. Roch),seventhward,29.9796,-90.0585,3.619,803,190.7,0.77,3.25,0,0,0.22,0.44,0.57,0.59,0.76
1043337,2022-06-10 11:23:00,ORLEANS,30.02,-90.02,Orleans,orleans,SWBNO Pumping Station (Little Woods),littlewoods,30.058639,-89.966746,4.156,420,99.8,0.29,1.86,0,0,0.09,0.16,0.25,0.28,0.29
1043337,2022-06-10 11:23:00,ORLEANS,30.02,-90.02,Orleans,orleans,NOPD Stables (City Park),citypark,29.99789,-90.09909,4.973,421,100.0,0.84,4.84,0,0,0.26,0.67,0.78,0.78,0.8
1043324,2022-06-10 10:24:00,ORLEANS,30.0218,-90.0051,Orleans,orleans,NOFD Engine 36 (New Orleans East),neworleanseast,30.02742,-89.96873,2.21,420,99.8,1.93,7.48,0,0,0.41,0.77,0.96,1.11,1.46
1043324,2022-06-10 10:24:00,ORLEANS,30.0218,-90.0051,Orleans,orleans,SWBNO East Bank Water Treatment (Lower 9th Ward),lowerninthward,29.97714,-89.99761,3.118,420,99.8,2.36,4.76,0,0,0.3,0.62,1.06,1.38,2.29
1043324,2022-06-10 10:24:00,ORLEANS,30.0218,-90.0051,Orleans,orleans,SWBNO Pumping Station (Little Woods),littlewoods,30.058639,-89.966746,3.427,420,99.8,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01
1043324,2022-06-10 10:24:00,ORLEANS,30.0218,-90.0051,Orleans,orleans,NOFD Engine 27 (Seventh Ward/St. Roch),seventhward,29.9796,-90.0585,4.326,782,185.7,0.18,1.34,0,0,0.07,0.1,0.1,0.16,0.18
1043324,2022-06-10 10:24:00,ORLEANS,30.0218,-90.0051,Orleans,orleans,Municipal Training Academy East (Almonaster),almonaster,30.01734,-89.927994,4.623,419,99.5,2.34,8.47,0,0,0.34,0.78,0.91,0.91,1.51
1043320,2022-06-10 10:00:00,ORLEANS,30.03,-90.07,Orleans,orleans,Municipal Yacht Harbor (Lakefront),lakefront,30.028359,-90.115627,2.732,737,175.1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1043320,2022-06-10 10:00:00,ORLEANS,30.03,-90.07,Orleans,orleans,NOPD Stables (City Park),citypark,29.99789,-90.09909,2.82,431,102.4,0.05,0.95,0,0,0.02,0.03,0.04,0.04,0.04
1043320,2022-06-10 10:00:00,ORLEANS,30.03,-90.07,Orleans,orleans,NOFD Engine 27 (Seventh Ward/St. Roch),seventhward,29.9796,-90.0585,3.55,765,181.7,0.08,1.21,0,0,0.05,0.07,0.07,0.07,0.08
1043320,2022-06-10 10:00:00,ORLEANS,30.03,-90.07,Orleans,orleans,NOFD Logistics (Navarre),logistics,29.98614,-90.10934,3.837,420,99.8,0.15,3.92,0,0,0.14,0.14,0.14,0.14,0.15
